 Node            Displacements                Applied/reaction forces
number     1-direction     2-direction      1-direction     2-direction
     11    31.789332826 -1888.607857194    -1.426757636   1904.701494640
     12 -1211.061622868 -4265.812150683    -1.499014595   3807.579568866
     13   306.744213126 -2168.435724289    -1.400574913   2336.955415197
     14   250.755265357 -3134.495156750    -1.527263070   3267.097986836
     15   660.570847742 -2863.851720795    -1.190454208   3244.961861502
     16  -130.831965653 -3780.321059240    -1.439603124   3716.632545624
     17   -43.039478696 -1216.378431333     1.468401158   1195.439915411
     18  2466.717337409 -4526.892871375    -0.395209703   6143.616086800
     19  2819.262225000  -561.077049275    -0.947034743   3137.653626338
     20   972.967362500  -179.970128552     1.308913327   1074.318294067
     21   -31.393553652  -265.215619376     0.754801490    250.995655730
     22     8.260430976  -269.223990272     0.848857305    273.447797296
     23    -8.432284377  -294.862068114     0.816397438    290.737651195
     24   670.404918423 -2211.750452723     0.768715169   2612.288498921
     25   655.368193533  -926.723147385    -0.510571609   1376.832646330
     26  1672.194673818 -1597.170278097     0.117802664   2831.601588605
     27  1455.946638944 -2260.785260238     1.027742535   3243.842368146
     28   -42.080011092 -1441.549005634     1.129549680   1420.976377295
     29    55.822458408 -4521.453387221    -1.517390283   4549.621470334
     30   380.458776740 -5393.260043067    -1.393375424   5593.202650679
     31   698.538354076 -2847.663666569    -1.086714012   3253.666621002
     32  2678.577081674 -8018.107037911    -1.059931565   9640.639678156
     33  -176.803405369 -2704.376642219    -0.013982514   2620.452149418
     34  -275.186524431  -511.936406725     0.496413219    443.766275490
     35   510.168659739    69.413445033    -1.137416318    479.247038083
     36   232.479406999 -1206.629600342     1.047810780   1338.102462839
     37   598.487883820   -37.607001911    -0.309356105    618.149956453
     38   -62.501139789 -1529.502834325     1.123300073   1499.229682946
     39   136.537284447 -1209.634593860     1.114588760   1283.362187118
     40    24.702503135 -1033.753267222     1.172423752   1046.323240915
     41    27.554543057  -796.799842342     1.099199491    810.928293478
     42  -200.739834681  -644.271317877     1.361706423    571.008839184
     43   282.473670756  -209.261923264    -0.483259494    427.425912659
     44  8787.467462457 -5691.976960682     0.913869893  12634.723917194
     45  6377.262042853 -9329.613654000     0.447502404  13682.417663784
     46  1552.206084278   -42.448219718     0.478139718   1573.859575801
     47  2446.286139396    29.949121203     0.426929311   2431.449918377
     48  3146.245065286   102.406145422     0.481866376   3096.312355006
     49  3573.331182572    81.299147212     0.541218645   3533.383154122
     50  1685.321731054   274.642826300     0.320655807   1566.166177569
     51  3901.073792691   278.410266520     0.631810374   3769.587513003
     52  1265.168963894  -591.006292732     0.394435118   1642.456624779
     53  3375.914065393   486.298831721     0.676836555   3160.945944597
     54  -189.037083786  -406.871104337     0.950248162    352.654771058
     55   -23.507861283   -65.364488759     0.875750726     57.345937941
     56    -4.241271758  -126.114085134     1.133541260    124.047840561
     57  -181.340081267  -766.880151733     0.623075123    694.206945484
     58  -140.050131519  -679.586912914     0.919911428    621.511202643
     59    -9.214458715  -600.487878150     1.003295639    595.934079653
     60    59.899442941  -551.649368304     0.988389226    583.907919689
     61   -24.928364413  -422.627617716     0.863037289    410.731191101
     62   -41.196324014  -350.843082807     0.776912325    332.166465117
     63   -23.011133163  -321.637691907     0.794431701    310.771731897
     64  2000.214282641 -1186.783194490    -0.092946746   2789.826557911
     65  1676.882747461  -343.790907656     0.336619647   1872.598456345
     66  1085.795240189  -288.517682835     0.650105965   1255.175240218
     67   760.904311602  -168.665440866     0.877847579    857.765506145
     68   392.481400462  -198.492487049     1.167345124    520.908366627
     69   154.572425601  -406.073538849    -1.392971799    501.553711562
     70   142.690012129 -1076.872819442    -0.915245441   1154.848260371
     71   217.890984462  -920.504914120    -0.708273971   1046.601882269
     72   242.883281593 -1025.563220965    -0.415088329   1166.132226320
     73   795.152396316  -495.382005628     0.305921127   1127.641278835
